"pid","grp","duration","entry","exit","num"
2631,"inactive",92,87,316,7046
2645,"inactive",93,88,315,7046
2656,"inactive",93,88,314,7046
2665,"inactive",93,88,325,7046
2672,"inactive",93,88,314,7046
2682,"inactive",94,89,319,7046
2687,"inactive",94,89,316,7046
2692,"inactive",94,89,317,7046
2700,"inactive",94,89,316,7046
2725,"inactive",95,90,318,7046
2740,"inactive",95,90,320,7046
2744,"inactive",96,91,323,7046
2760,"inactive",96,91,321,7046
2769,"inactive",96,91,321,7046
2779,"inactive",97,92,325,7046
2781,"inactive",97,92,325,7046
2803,"inactive",97,92,322,7046
2805,"inactive",97,92,327,7046
2810,"inactive",97,92,327,7046
2817,"inactive",98,93,325,7046
2828,"inactive",98,93,330,7046
2834,"inactive",98,93,327,7046
2836,"inactive",98,93,328,7046
2838,"inactive",98,93,327,7046
2839,"inactive",98,93,328,7046
2842,"inactive",98,93,327,7046
2845,"inactive",98,93,327,7046
2853,"inactive",99,94,336,7046
2857,"inactive",99,94,331,7046
2867,"inactive",99,94,335,7046
2871,"inactive",99,94,334,7046
2878,"inactive",100,95,333,7046
2879,"inactive",100,95,328,7046
2881,"inactive",100,95,332,7046
2882,"inactive",100,95,332,7046
2884,"inactive",100,95,334,7046
2901,"inactive",100,95,330,7046
2904,"inactive",100,95,333,7046
2918,"inactive",101,96,337,7046
2932,"inactive",101,96,334,7046
2933,"inactive",101,96,336,7046
2934,"inactive",101,96,336,7046
2935,"inactive",101,96,338,7046
2961,"inactive",102,97,334,7046
2964,"inactive",102,97,336,7046
2970,"inactive",102,97,336,7046
2972,"inactive",102,97,344,7046
2978,"inactive",103,98,340,7046
2979,"inactive",103,98,339,7046
3011,"inactive",104,99,339,7046
3034,"inactive",104,99,343,7046
3039,"inactive",105,100,343,7046
3055,"inactive",105,100,344,7046
3075,"inactive",106,101,345,7046
3085,"inactive",106,101,349,7046
3088,"inactive",106,101,344,7046
3091,"inactive",106,101,348,7046
3105,"inactive",107,102,353,7046
3113,"inactive",107,102,350,7046
3114,"inactive",107,102,350,7046
3124,"inactive",107,102,349,7046
3148,"inactive",108,103,355,7046
3156,"inactive",108,103,362,7046
3176,"inactive",109,104,351,7046
3187,"inactive",109,104,353,7046
3190,"inactive",109,104,356,7046
3197,"inactive",109,104,353,7046
3206,"inactive",110,105,353,7046
3212,"inactive",110,105,361,7046
